SMILES,Observed(min),Prediction of training-set(min)
CC(C)CCn1nc(C(C)(C)C)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O,10.998000001500982,11.00758
CN1C(=O)CN(Cc2ccc(-c3cccc(CN4CCCCC4)n3)cc2)C1=O,109.98000001566467,110.38749
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,1.000200000219478,1.0055045
CCC1=C(C(=O)CC2CCCCC2)[C@H](c2ccc(O)c(Cl)c2)NC(=O)N1,18.00000000586685,18.135792
O=C(O)CCCC(=O)N1N=C(c2c(-c3ccc(Cl)cc3)c3ccccc3[nH]c2=O)CC1c1ccc(Cl)cc1,13.002000005718587,12.9542465
COc1ccc(-c2cc(-c3ccc4cnn(C)c4c3)cnc2N)cn1,142.9799999833278,144.76974
O=C(c1ccc2[nH]c(=O)c3c(c2c1)CCSC3)N1CCN(C2CCCC2)CC1,14.502000003954691,14.481398
CCN(CC)CCC/N=C(/Nc1c2ccc(Cl)cc2nc2ccc(OC)nc12)c1ccccc1,16.00199999670628,16.228207
Cc1ccc(Cl)cc1N1CCN(c2ccc(C(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)Nc3ccncc3)c(F)c2)CC1,8.999999998972932,8.995894
CC1=C2C[C@H]3[C@@H](CC[C@@H]4Cc5nn(S(C)(=O)=O)cc5C[C@]34C)[C@@H]2CC[C@@]2(C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,180.00000005974027,181.91968
COc1ccc2nc(NC(=O)C(CC3CCCC3)c3ccc(S(=O)(=O)NCC(=O)O)cc3)sc2n1,27.198000000961,27.305227
COc1ccc2nc(NC(=O)C(CC3CCCC3)c3ccc(S(=O)(=O)NC4CC4)cc3)sc2n1,19.499999993221792,19.54255
CC(C)OC(=O)C1=CN(C(=O)c2ccc(OCCCN3CCCC3)cc2)CC(C)(C)c2c1[nH]c1ccccc21,16.998000002476036,17.011343
C[C@]12CC[C@H]3[C@@H](CC4(CC4)C4=CC(=O)NCC[C@@]43C)[C@@H]1CC=C2c1cccnc1,1.000200000219478,1.0040661
CC(=O)N1CCN(c2ccc(C(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)Nc3ccncc3)c(F)c2)CC1,64.01999997953817,63.038086
COc1ccc([C@@]23Oc4cc(O[C@@H]5O[C@@H]([C@@H](O)CO)CO[C@H]5OC)cc(OC)c4[C@]2(O)[C@H](O)[C@H](C(=O)N(C)C)[C@H]3c2ccccc2)cc1,160.01999996801564,158.46124
CSc1nc2ccccn2c(=N)c1S(=O)(=O)c1ccccc1,5.2001999991465615,5.2016077
COc1ccc(Nc2nc(NCc3ccccc3)c3ccccc3n2)cc1,64.9799999987749,64.59561
CC1=C2C[C@H]3[C@@H](CC[C@@H]4C[C@H](n5ccnn5)CC[C@]34C)[C@@H]2CC[C@@]2(C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,40.002000014325624,40.316246
COc1ccc2[nH]c(SCc3cccc(-c4ccccc4)c3)nc2c1,1.800000000575967,1.8352978
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@H](NC(=O)C5CC5)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,1.000200000219478,1.0042467
CC(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(NC(=O)C4CC4)ccc3N2)c1=O,4.99979999794019,4.924569
COc1ccc2c(c1)CCCN2c1cc(C)nc2ccccc12,7.8900000028744675,7.96857
CC(C)CC[C@@H]1CN(C2CCCC2)C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C1O,31.998000012017826,31.750624
CC(C)(C)c1ccc(-c2ccc(C#N)cn2)cc1,51.00000002538652,51.651966
NC(=O)COc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c(-c3cccs3)nn(CC3CCC3)c1=O)N2,22.001999997906655,21.712431
CCC(=O)Nc1cc(Cl)c(Oc2ccc(O)c(-c3ccc(C(C)=O)cc3)c2)c(Cl)c1,5.7000000021750985,5.726378
CS(=O)(=O)N[C@H]1CC[C@H](n2cnc3cnc4[nH]ccc4c32)CC1,108.00000001057114,108.74548
COc1ccc(-c2cnc(N)c(-c3ccc(OC)nc3)c2)cn1,86.99999996237398,88.49493
N#C[C@@H]1CCCN1C(=O)c1ccccc1C(=O)NCc1ccccc1,31.00199999035832,30.941498
CC1C[C@H]2C3=CC=C(c4cccnc4)[C@@]3(C)CC[C@@H]2[C@@]2(C)C=CC(=O)C=C12,1.000200000219478,1.0020553
CC(C)(C)c1ccc(NC(=O)N2CCCN(C(=O)c3cc(Cl)ccc3Cl)CC2)cc1,5.999999999964276,6.0338564
CCS(=O)(=O)c1ccc2oc(-c3ccc4ccccc4c3)nc2c1,105.00000000678061,106.28977
C[C@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,1.000200000219478,1.0027337
CC(=O)OCc1cc(N)c(Nc2ccc(C#N)cc2)cc1Oc1c(C)cc(CCC#N)cc1C,10.199999999305128,10.180297
CC(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(S(=O)(=O)N(C)C)ccc3N2)c1=O,10.998000001500982,10.885534
COc1ccc(-c2csc(N/N=C3\CC(=O)c4ccccc43)n2)cc1OC,93.77999995879873,92.98858
CN1CCN(C(=O)Cn2c(-c3ccoc3)c(C3CCCCC3)c3ccc(C(=O)O)cc32)CC1,70.01999997868458,71.68148
COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)CC2c2ccc(C3CC3)cc2)cc1,29.99999998679836,30.00388
COc1cncc(C2=CC[C@H]3[C@@H]4CC[C@H]5COCCC[C@]5(C)[C@H]4CC[C@]23C)c1,1.000200000219478,1.0014167
O=S(=O)(Nc1ccc(O)c(CO)c1)c1ccc(-c2ccc(Br)cc2)cc1,10.00200000225434,9.998883
CN(C)CC(=O)N1CCC(n2cnc3cnc4[nH]ccc4c32)CC1,89.99999999026521,90.54559
CC(C)OC(=O)C1=CN(C(=O)c2ccc(OCCN(C)C)cc2)CC(C)(C)c2c1[nH]c1ccccc21,22.997999990700244,23.220137
Cc1cncc(C2=CC[C@H]3[C@@H]4CC(O)C5CCCC[C@]5(C)[C@H]4CC[C@]23C)c1,1.000200000219478,1.0067469
CNC(=O)COc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c(-c3cccs3)nn(CCC(C)C)c1=O)N2,19.997999993369522,19.785095
CCN(CC)CCOc1ccc(CCC(Cc2cc3ccc(C)cc3oc2=O)C(=O)NO)cc1,73.01999999960641,73.542
CCCN(CCCNc1ccnc2cc(Cl)ccc12)CC1CC1,48.19799999047464,48.25954
CC(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(OC(C)C(N)=O)ccc3N2)c1=O,13.002000005718587,12.834227
Cc1c(Cl)nc(NC(=O)NC(C)(C)C)c(=O)n1C(C(=O)Nc1ccccc1C(=O)NS(=O)(=O)c1ccc(C(F)(F)F)cc1)c1ccccc1,53.99999998152262,54.08101
CNc1nc(NCCCN(C)C)c2sc(-c3ccc(C(C)=O)cc3)cc2n1,21.000000010472228,21.077343
CC(C)c1ccc(NC(=O)N2CCCN(C(=O)CCC3CCCC3)CC2)cc1,7.0019999978267675,6.9494996
CCC(=O)NC/C=C\CN(C)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](OC(C)=O)[C@@H]1OC(C)=O,74.99999997643427,74.986206
CN1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(N5C6CCC5COC6)nc(N5[C@H](CO)CC[C@@H]5CO)n4)cc3)cc2)CC1,5.500200000046493,5.4937406
Cc1ccc(Nc2nc(-c3cc(C(=O)Nc4ccccc4)no3)cs2)cc1,35.09999999123485,35.403255
O=C(NCCc1nc(-c2cccc(F)c2)cs1)N1CCC(F)(F)CC1,5.800199997132514,5.8834553
Cc1ccc(CSc2nc(O)c3c(n2)CCC3)cc1,7.301999999917161,7.316739
O=C(O)c1ccc2c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N3CCC(N4CCCC4)CC3)c2c1,110.99999998998409,111.02592
CC(C)CCn1nc(CC2=CCCC2)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O,8.999999998972932,8.860294
CCc1ccc(NC(=O)N2CCCN(C(=O)CCC3CCCC3)CC2)cc1,4.99979999794019,4.9848995
COc1ccc2nc(NC(=O)C(CC3CCCC3)c3ccc(S(=O)(=O)NCc4cccs4)cc3)sc2n1,25.302000005809916,25.370707
CN1CC[C@@]2(C)C(=CC1=O)CC[C@H]1[C@@H]3CC=C(n4ccnc4)[C@@]3(C)CC[C@@H]12,1.000200000219478,1.0005876
O=C1CCC(CCN2CC(N3CCOCC3)C2)(c2ccc(Cl)c(Cl)c2)CN1Cc1ccccc1,70.00000001209192,69.26025
O=C(NCCCc1ccccc1)c1cccnc1,105.00000000678061,103.60293
COc1ccc2[nH]c(SCc3ccc(Br)cc3)nc2c1,4.199999999717667,4.25689
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,24.04800000508572,24.157799
CC(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(-c4cnn[nH]4)ccc3N2)c1=O,16.00199999670628,15.920148
COc1ccc2[nH]c(SCc3ccc(OCc4ccccc4)cc3)nc2c1,16.30199999266141,16.610186
COc1ccc(CCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccncc2)cc1,4.000200001408744,4.031163
CC(C)CCn1nc(-c2ccn(C)c2)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O,37.99800001746967,37.079884
C1CCC(CC(C2CCCC2)C2CCC2)NC1,51.00000002538652,51.95559
O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2ccc(C(F)(F)F)c(F)c2)cc1F,45.00000002033014,44.61619
CC(OC(=O)N1C[C@@H]2C[C@H]1CN2C(=O)[C@@]1(C(C)C)CC[C@@H](NC2CCOCC2)C1)C(F)(F)F,77.9999999635357,78.06202
CN1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(N5C6CCC5COC6)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1,2.500199998869347,2.507463
O=S1(=Nc2ccc(C(F)(F)F)cc2)CCCC1,109.98000001566467,110.23619
O=C(N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)Nc1ccncc1)C1CCCCC1,85.98000001323793,83.8926
CC(C)(CO)c1ccc(-c2ccc(C#N)cn2)cc1,202.01999996385103,204.44354
Cc1cc(Nc2ccc3ccccc3c2)n2ncnc2n1,18.00000000586685,17.879322
CCN(C(=O)Nc1ccc(SC(F)(F)F)cc1)C1Cc2ccc(SC(C)(C)C(=O)O)cc2C1,100.02000002313893,101.34316
O=C1CC(=O)N(CCc2ccccc2)C(=O)N1CCc1ccccc1,61.019999995946876,60.84991
CCc1nn(CCO)c(CC)c1Oc1cc(F)cc(C#N)c1,43.99799999482509,43.49147
COc1ccc2nc3cc(Cl)ccc3c(N/C(=N/CCCN3CCCCC3)C(C)C)c2n1,8.999999998972932,9.078492
CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cc(cc(NC(=O)C(F)(F)F)c2)C1,21.000000010472228,21.109344
OCC1(N2CCN(C3CCc4ccc(OCc5noc(-c6ccccc6F)n5)cc43)CC2)CCCC1,13.997999999366629,13.916173
N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2cc(N3CCOCC3)c(F)cc2c1=O,32.999999991935475,32.888012
OCC1(N2CCN(C3CCc4ccc(OCc5noc(-c6ccc(Cl)cc6)n5)cc43)CC2)CCCC1,8.999999998972932,8.995282
O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(N2CCN(c3ccc(Cl)c(Cl)c3)CC2)cc1F,7.997999998380197,8.065246
COc1ccc2nc(NC(=O)C(CC3CCCC3)c3ccc(S(=O)(=O)NCCC(=O)O)cc3)sc2n1,22.60200000642217,22.589071
CCC(=O)N1CCC(NC(=O)c2cc3cc(Cl)ccc3[nH]2)C(NC(=O)c2nc3c(s2)CN(C)CC3)C1,6.07799999834374,6.0951185
CC(C)OC(=O)C1=CN(C(=O)c2ccc(OCCN3CCCCC3)cc2)CC(C)(C)c2c1[nH]c1ccccc21,13.997999999366629,14.051077
CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccc(C)o1,5.599800002265016,5.7077284
Nc1nccc(NCCNc2cc(-c3cccc(Cl)c3)nc(N)n2)n1,51.00000002538652,51.862072
CNc1nc(NCCCN(C)C)c2sc(-c3cccc4cnccc34)cc2n1,25.302000005809916,25.366632
CN(C(=O)[C@@H](N)Cc1ccccc1)[C@@H](Cc1ccccc1)C(N)=O,15.000000001798359,15.124097
CC(C)(C)c1cc(NC(=O)[C@@H]2CCCCN2CC2CCOCC2)no1,10.998000001500982,11.028504
C/N=c1/c(S(=O)(=O)c2ccccc2)c(SC)nc2ccccn12,2.8002000000571603,2.828555
CCCC(=O)OC[C@@H]1[C@@H](OC(=O)CCC)[C@H](OC(=O)CCC)[C@@H](OC(=O)CCC)CN1CCCCCCN(C(=O)NC(C)(C)C)C1CCCCC1,13.997999999366629,14.109506
CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c(-c3cccs3)nn(CC3(C(F)(F)F)CCC3)c1=O)N2,60.0,59.117805
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6ccc(C(=O)O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,120.00000005280656,121.13257
C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)NCC[C@@]43C)C1=CC=C2n1ccnc1,1.000200000219478,0.9997445
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@H](NC(=O)C5CC5)CC[C@@]43C)[C@@H]1CC=C2n1ccnc1,1.000200000219478,1.0059335
COc1cc2c(N3CCN(C(=O)c4ccccc4)CC3)nc(N(C)C)nc2cc1OCCCN1CCCC1,46.86000000667526,46.63237
COc1cc(C(=O)NCCN(C)C)cc(OC)c1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,142.0200000664871,143.46541
NC(=O)c1ccccc1NC(=O)c1cccnc1N1CCCCC1,16.698000007518978,16.826767
CCOc1cc(NC(=O)C2(NC(=O)c3ccc4c(C5CCCC5)c(-c5ncc(Cl)cn5)n(C)c4c3)CCC2)ccc1/C=C/C(=O)OCOC(=O)C(C)(C)C,247.02000005242564,247.92017
CNC(=O)c1cc(N)c(Nc2ccc(C#N)cc2)cc1Oc1c(C)cc(CCC#N)cc1C,55.69799997639798,55.46451
Fc1ccc(-c2ccc(C3(C(F)(F)F)CC3)cc2)nc1,64.01999997953817,63.99998
CC(C)c1ccc(-c2ccc(C#N)cn2)cc1,8.999999998972932,9.08055
C[C@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@@]43C)[C@@H]1CC=C2c1cncc(F)c1,1.000200000219478,1.0035669
CC(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(OCC(=O)N4CCNC4)ccc3N2)c1=O,41.99999999742676,41.440857
O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2ccccc2Cl)cc1F,16.00199999670628,16.283163
O=S1(=Nc2ccc(F)cc2)CCCCC1,120.00000005280656,119.67605
CC(C)CCn1nc(N2CCCCC2C)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O,4.99979999794019,4.9666185
CN(C)c1ccc(C(=O)N2CCCN(C(=O)Nc3ccc(C(C)(C)C)cc3)CC2)cc1,4.000200001408744,3.9943783
CC(C)OC(=O)C1=CN(C(=O)c2cccc(OCCCN3CCN(C)CC3)c2)CC(C)(C)c2c1[nH]c1ccccc21,5.999999999964276,5.978531
O=C1CN(Cc2ccc(-c3cccc(CN4CCCCC4)n3)cc2)C(=O)N1C1CCC1,28.9980000038016,29.085522
C[C@]12CC[C@H]3[C@@H](CCC4=C/C(=N/O)CC[C@@]43C)C1=CC=C2c1cccnc1,1.000200000219478,1.0072786
CC(C)CCn1nc(-c2ccccc2)c(O)c(C2=CS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O,35.99999999157566,35.94021
O=C(NCCC(c1ccc(F)cc1)c1ccc(F)cc1)c1cccnc1,12.000000005209206,12.16151
CS(=O)(=O)N1CCc2cc(S(=O)(=O)c3ccc4c(c3)OCCO4)ccc21,25.998000006142632,25.910988
O=C(Nc1ccc(F)c(-c2nc3ncccc3o2)c1)c1cnco1,124.02000003725173,123.325165
CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(CCC(F)(F)F)c(-c3cnc(OC)c(C(=O)NC(C)(C)c4ncon4)c3)cc12,13.997999999366629,14.114079
CCN(CC)CCCN/C(=N\c1ccnc2cc(Cl)ccc12)c1ccccc1,21.000000010472228,21.07224
CN1CCN(c2nc3ccccc3n2C2CCN(C3(CO)CCCCCCC3)CC2)CC1,9.498000000903932,9.6109915
N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2c(Cl)cc(Cl)cc2c1=O,64.01999997953817,64.82924
CCNC(=O)c1cc(N)c(Nc2ccc(C#N)cc2)cc1Oc1c(C)cc(/C=C/C#N)cc1C,139.01999993740776,139.18217
CC(C)OC(=O)C1=CN(C(=O)c2cccc(OCCCN3CCOCC3)c2)CC(C)(C)c2c1[nH]c1ccccc21,4.000200001408744,4.0075035
CC(C)CCn1nc(N2CCOCC2)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O,60.0,59.007565
N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(-c2ccoc2)c1=O,55.9980000229836,56.06866
Cc1c[nH]c2ncnc(-c3ccc(NC(=O)Nc4cccc(C(=O)NC(C)C)c4)c(F)c3)c12,27.000000005879834,27.123838
COc1cc(NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)C2CCCCC2)ccn1,4.99979999794019,5.0224056
Cc1ccc(-n2c(C)nnc2-c2ccc3c(c2)N(C2CC2)C(C)C(=O)N3C)cc1,31.500000012301168,31.252527
Cc1cc(S(=O)(=O)Nc2cccc(CO)c2C)ccc1-c1ccc(F)cc1F,15.000000001798359,15.030296
O=C([C@H]1CCCN1)N1CCC(NS(=O)(=O)c2cc(S(=O)(=O)c3ccccc3)ccc2C(F)(F)F)CC1,15.000000001798359,15.132228
COC(=O)[C@@H]1[C@@H](c2ccccc2)[C@]2(c3ccc(OC)cc3)Oc3cc(O[C@@H]4O[C@@H]([C@H](O)CO)CO[C@H]4OC)cc(OC)c3[C@]2(O)[C@@H]1O,97.02000003929604,96.60501
O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccccc1Cl,5.999999999964276,6.035695
COc1ccc(CN(C(=O)[C@@H](N)Cc2c(C)cc(C(N)=O)cc2C)[C@H](C)c2nc(-c3ccccc3)c[nH]2)cc1C(=O)O,150.00000001887673,149.0782
O=S1(=Nc2ccc(C(F)(F)F)cc2)CCNCC1,109.98000001566467,110.59379
