,CHEMBL_ID,Molecular Weight,SMILES,TYPE,Observed,Prediction of testing-set
21,CHEMBL3957953,392.59,CCc1cncc(C2=CC[C@H]3[C@@H]4CCN5C(=O)CCCC[C@]5(C)[C@H]4CC[C@]23C)c1,unstable,1.0002,0.8836831
22,CHEMBL259769,464.65,CCc1cccc(CC)c1-c1cc(OC)c2c(n1)CCCC2N(CC)c1cccc2ccccc12,moderate,54.0,9.964499
23,CHEMBL3746909,423.47,C[C@@H]1C[C@H](N)CN(c2ccncc2NC(=O)c2ccc(F)c(-c3ccccc3F)n2)C1,unstable,13.002,36.512917
24,CHEMBL3289428,404.47,COCCN(C)CCNC(=O)c1cccn2c(=O)c3cc4ccccc4cc3nc12,unstable,13.998000000000001,21.527401
25,CHEMBL227670,389.46,COc1ccc2nc(N3CCC[C@@H](N)C3)n(Cc3ccccc3C#N)c(=O)c2c1,stable,82.02,110.25421
26,CHEMBL3902840,408.56,CC(=O)N[C@@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5cncc(F)c5)[C@@]4(C)CC[C@@H]32)C1,unstable,1.0002,0.93529606
27,CHEMBL2403341,451.33,O=c1ncn(Cc2c(F)cc(F)cc2F)c2ccc(Oc3ncccc3C(F)(F)F)cc12,stable,122.99999999999999,106.69197
28,CHEMBL214262,467.92,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1cc(OC(F)(F)F)ccc1O,unstable,6.9,20.078941
29,CHEMBL3946740,376.54,CN1C(=O)CCC[C@@]2(C)C1=CC[C@H]1[C@@H]3CC=C(c4cccnc4)[C@@]3(C)CC[C@@H]12,unstable,1.0002,1.0148244
30,CHEMBL2322702,518.46,C[C@@H]1CN(c2ccc(F)cc2C(F)(F)F)CCN1S(=O)(=O)c1cn(C)c(C(C)(O)C(F)(F)F)n1,unstable,10.001999999999999,17.649609
31,CHEMBL256948,603.63,CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c(-c3cccs3)nn(CC3(C(F)(F)F)CCC3)c1=O)N2,stable,60.0,25.910997
32,CHEMBL1092393,570.7,CN(C)Cc1ccc(NC(=O)Nc2ccc(-c3nc(N4C5CCC4COC5)nc(N4C5CCC4COC5)n3)cc2)cc1,unstable,6.0,3.8479006
33,CHEMBL386630,288.43,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,unstable,15.0,2.957957
34,CHEMBL1091351,570.7,O=C(Nc1ccc(-c2nc(C3CCOCC3)nc(N3C4CCC3COC4)n2)cc1)Nc1ccc(N2CCNCC2)cc1,unstable,27.0,13.37274
35,CHEMBL4102824,723.99,CCCC(=O)OC[C@@H]1[C@@H](OC(=O)CCC)[C@H](OC(=O)CCC)[C@@H](OC(=O)CCC)CN1CCCCCCN(C(=O)NC(C)(C)C)C1CCCCC1,unstable,13.998000000000001,2.8957007
36,CHEMBL2181493,370.43,CNS(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc(OC)nc3)c2)cc1,stable,181.01999999999998,109.99571
37,CHEMBL410688,497.6,CCCc1nn(CCC(C)C)c(=O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1O,unstable,6.0,5.952209
38,CHEMBL2431642,426.47,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)C1CCC(F)(F)CC1,unstable,6.0,7.3139086
39,CHEMBL2431538,539.01,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(/C=C/c2ccc(Cl)cc2)cc1F,stable,70.02,35.423397
40,CHEMBL2035813,494.91,C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)n1,moderate,45.0,50.33142
41,CHEMBL3120276,410.47,CNc1nc(NCCCN(C)C)c2sc(-c3ccc(C(F)(F)F)nc3)cc2n1,stable,178.98000000000002,125.35409
42,CHEMBL2152305,331.42,c1ccc(CN2CCC(n3cnc4cnc5[nH]ccc5c43)CC2)cc1,moderate,48.0,76.11052
43,CHEMBL1684706,493.54,CC(OC(=O)N1C[C@@H]2C[C@H]1CN2C(=O)[C@@]1(C(C)C)CC[C@@H](NC2CCOCC2F)C1)C(F)(F)F,unstable,25.998,57.605705
44,CHEMBL3824048,444.31,CCC(=O)Nc1cc(Cl)c(Oc2ccc(O)c(-c3ccc(C(C)=O)cc3)c2)c(Cl)c1,unstable,5.7,15.863567
45,CHEMBL398684,441.6,CCN(C(=O)Nc1ccc(N(C)C)cc1)C1Cc2ccc(SC(C)(C)C(=O)O)cc2C1,stable,79.98,18.170761
46,CHEMBL3770586,506.09,NCCOCCOCCOCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,unstable,26.201999999999998,25.280357
47,CHEMBL1800632,485.94,N#Cc1c(-c2ccc(C(F)(F)F)cc2)cc(NCCN2CCCC2)n2c1nc1ccccc12,unstable,19.602,41.848995
48,CHEMBL2035827,388.79,C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(F)c(Cl)c2)n1,unstable,16.002,83.28531
49,CHEMBL2431636,452.49,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc2cc(F)ccc2c1,unstable,13.998000000000001,22.121948
50,CHEMBL213403,413.95,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1cc(OC)ccc1O,unstable,6.702,10.959065
51,CHEMBL1762282,399.58,CC(C)(C)c1ccc(NC(=O)N2CCCN(C(=O)CCC3CCCC3)CC2)cc1,unstable,3.0,3.193978
52,CHEMBL2018925,362.45,COc1ccc2[nH]c(SCc3cccc(Oc4ccccc4)c3)nc2c1,unstable,5.119800000000001,8.978241
53,CHEMBL2426573,475.64,CCCc1sc(-c2ccc(OC)c(OCC(C)(C)O)c2)nc1CSc1nc(N)cc(N)n1,unstable,4.0998,1.8235384
54,CHEMBL376359,339.4,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,stable,121.02,238.34323
55,CHEMBL1097181,499.63,COc1cc(N2CCN(C3CCN(c4ccc(F)c5c(C)cc(C)nc45)CC3)CC2)c2ncccc2c1,unstable,3.0,5.347972
56,CHEMBL476560,554.7,CN(c1nn(CCC(C)(C)C)c(=O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1O)C(C)(C)C,unstable,6.0,7.1492047
57,CHEMBL1807910,314.78,CC(C)C(=O)Nc1ccc2nn(-c3ccc(Cl)cc3)nc2c1,stable,291.0,229.20862
58,CHEMBL1835126,418.54,O=C1CN(Cc2ccc(-c3cccc(CN4CCCCC4)n3)cc2)C(=O)N1CC1CC1,moderate,37.998,36.250675
59,CHEMBL1642916,306.24,CN[C@@H]1CCc2ccccc2[C@H]1c1ccc(Cl)c(Cl)c1,stable,94.98,64.54576
60,CHEMBL2011147,404.94,CCC1=C(C(=O)CC2CCC(CC)CC2)[C@H](c2ccc(O)c(Cl)c2)NC(=O)N1,unstable,24.0,28.445362
61,CHEMBL602142,449.55,CN1CCN(C(=O)Cn2c(-c3ccoc3)c(C3CCCCC3)c3ccc(C(=O)O)cc32)CC1,stable,70.02,107.58763
62,CHEMBL2064159,437.56,Cc1cc(F)ccc1C1CCN(CCC(=O)N2c3ccccc3C[C@H]2C(=O)N(C)C)CC1,moderate,43.002,37.126606
63,CHEMBL3912639,377.5,CC1C[C@H]2C3=CC=C(c4cncc(F)c4)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12,unstable,1.0002,1.059899
64,CHEMBL3361386,331.77,COc1cc2[nH]c(C)c(-c3ccc(F)cc3C)c(=O)c2cc1Cl,stable,115.98,119.52277
65,CHEMBL3408844,596.69,CCOc1nc(NC(=O)C(C)(C)NC(=O)c2ccc3c(C4CCCC4)c(-c4cncnc4)n(C)c3c2)ccc1/C=C/C(=O)O,stable,69.0,69.8353
66,CHEMBL1630764,244.34,CN(c1ncnc2[nH]ccc12)C1CCCCCC1,unstable,13.998000000000001,9.04165
67,CHEMBL2057548,754.11,C=C(C)[C@@H]1CC[C@]2(C(=O)NCCCCCCCCC(=O)N[C@@H](CCC(N)=O)C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,moderate,30.131999999999998,31.260035
68,CHEMBL4102491,430.34,NS(=O)(=O)c1cc(-c2nnc(CCl)o2)c(Cl)cc1SCc1ccccc1,unstable,14.1,12.911489
69,CHEMBL1630801,355.36,C[C@@H]1CCN(C(=O)CC(F)(F)F)C[C@@H]1N(C)c1ncnc2[nH]ccc12,stable,60.0,31.777569
70,CHEMBL2386595,496.63,[2H]C([2H])([2H])N1CCN(Cc2ccc(C(=O)Nc3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc2)CC1,unstable,25.998,12.38556
71,CHEMBL1081562,548.69,CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(C1=C(O)[C@@H]3C4CCC(CC4)[C@@H]3N(CC3CCCC3)C1=O)N2,moderate,46.998,41.529335
72,CHEMBL3976482,420.64,CC(C)C(=O)N[C@H]1CC[C@@]2(C)C(CC[C@H]3[C@@H]4CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1,unstable,1.0002,3.5106723
73,CHEMBL1669599,683.15,NC(=O)Cn1cc(CN2CCN(c3cc(C(=O)Nc4ccc5c(c4)-c4c(c(C(N)=O)nn4-c4ccc(F)cc4)CC5)c(Cl)cn3)CC2)cn1,moderate,58.002,7.884063
74,CHEMBL259349,509.61,CC(C)CCn1nc(C2CCC2)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O,unstable,19.002,11.64775
75,CHEMBL3216532,431.41,CCCCCCc1nc2cc(/C=C/C(=O)NO)ccc2n1CCNCC,moderate,51.0,41.333904
76,CHEMBL401705,527.63,CC(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(N4CCCC4=O)ccc3N2)c1=O,unstable,4.3002,10.268497
77,CHEMBL3113553,410.32,CSc1nc2ccc(Br)cn2c(=N)c1S(=O)(=O)c1ccccc1,unstable,7.5,11.247466
78,CHEMBL457175,564.71,CCC(C)(C)CCn1nc(-c2cccs2)c(O)c(C2=CS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O,moderate,30.0,16.48483
79,CHEMBL535,398.48,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,moderate,37.050000000000004,39.42981
80,CHEMBL4104051,387.45,Cc1nc2c(N3CCOCC3)ncnc2n1Cc1ccc(-c2cncnc2)cc1,moderate,49.5,61.632385
81,CHEMBL1630769,216.29,CN(c1ncnc2[nH]ccc12)C1CCCC1,unstable,19.997999999999998,7.2297897
82,CHEMBL589706,386.41,Cc1ccnc(NC(c2ccc([N+](=O)[O-])cc2)c2ccc3cccnc3c2O)c1,unstable,25.5,70.16641
83,CHEMBL345309,479.5,NC1CCN(C2CN(CCC3(c4ccc(Cl)c(Cl)c4)CCC(=O)N(CC4CC4)C3)C2)CC1,moderate,30.0,53.846413
84,CHEMBL3984284,365.56,C[C@]1(O)CC[C@@]2(C)C(CC[C@H]3[C@@H]4CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1,unstable,1.0002,1.2574879
85,CHEMBL1630787,401.56,CCN(CC)C(=O)OC[C@H](C)[C@H]1CC[C@@H](C)[C@@H](N(C)c2ncnc3[nH]ccc23)C1,unstable,4.9998000000000005,7.4698777
86,CHEMBL3982662,360.5,C=CCOC(C)C1=CC(C)(C)Nc2ccc(-c3cc(F)ccc3OC)cc21,unstable,6.000000017964274,5.534602
87,CHEMBL252398,515.57,NC(=O)COc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c(-c3cccs3)nn(CC3CCC3)c1=O)N2,unstable,22.002000000000002,22.397253
88,CHEMBL2386154,289.26,N#Cc1ccc(-c2ccc(C3(C(F)(F)F)CC3)nc2)nc1,stable,109.98,209.14253
89,CHEMBL3422026,425.96,COc1ccc2nc3cc(Cl)ccc3c(N/C(C)=N/CCCN3CCCCC3)c2n1,unstable,13.998000000000001,19.353119
90,CHEMBL1836035,376.5,Cc1nc2ccccc2n1-c1ccc(C(=O)N(C)[C@@H]2CCN(C(C)C)C2)cc1,unstable,13.998000000000001,60.80191
91,CHEMBL1762285,385.55,CC(C)(C)c1ccc(NC(=O)N2CCCN(C(=O)C3CCCCC3)CC2)cc1,unstable,4.0001999999999995,5.042984
92,CHEMBL2181502,345.32,COc1ccc(-c2cc(-c3ccc(C(F)(F)F)cc3)cnc2N)cn1,stable,285.0,100.92309
93,CHEMBL2386152,234.3,CC1(c2ccc(-c3ccc(C#N)cn3)cc2)CC1,moderate,34.998000000000005,44.170334
94,CHEMBL3422289,447.97,COc1ccc2nc3cc(Cl)ccc3c(N/C(=N/CCCN(C)C)c3ccccc3)c2n1,unstable,18.0,42.44051
95,CHEMBL3805692,432.48,NC(=O)c1cncc(OCc2cccc(NC(=O)c3ccc(N4CCOCC4)cc3)c2)c1,moderate,55.001999999999995,8.442302
96,CHEMBL1835219,470.6,CC(C)CN1C(=O)CN(Cc2ccc(-c3cccc(CN4CCS(=O)(=O)CC4)n3)cc2)C1=O,unstable,27.0,20.812048
97,CHEMBL457176,548.67,CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)C=C(c1c(O)c(-c3cccs3)nn(CC3CCCC3)c1=O)N2,moderate,43.002,29.223036
98,CHEMBL3580754,613.47,O=C(/C=C/c1cc(Cl)ccc1-n1cnnn1)N[C@@H](Cc1ccccc1)c1nc(-c2ccc3[nH]c(=O)cc(O)c3c2)c(Cl)[nH]1,moderate,55.998000000000005,42.8817
99,CHEMBL551338,429.49,CS(=O)(=O)c1ccc(C(=O)NCCC(c2ccc(F)cc2)c2ccc(F)cc2)cc1,moderate,46.998,27.239853
100,CHEMBL227356,462.53,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2cc(N3CCOCC3)c(F)cc2c1=O,moderate,33.0,115.7058
101,CHEMBL4573400,527.67,Cc1ccc(-n2nc(C(=O)N3CCN(C)CC3)nc2-c2ccc3c(c2)N(C2CCCC2)[C@H](C)C(=O)N3C)cc1,unstable,22.997999999999998,39.87965
102,CHEMBL2237215,397.54,O=C(c1ccc2[nH]c(=O)c3c(c2c1)CCSC3)N1CCN(C2CCCC2)CC1,unstable,14.502,28.526424
103,CHEMBL1828772,402.33,CC(C)N/C(=N\c1nccn1Cc1ccccc1)Nc1ccc(Cl)c(Cl)c1,unstable,16.002,18.809723
104,CHEMBL258059,486.58,CC(=O)c1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c(-c3cccs3)nn(CCC(C)C)c1=O)N2,unstable,4.3002,4.3994555
105,CHEMBL390529,428.32,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2c(Cl)cc(Cl)cc2c1=O,stable,64.02,132.27725
106,CHEMBL3799240,319.41,O=C(NCCc1nc(-c2cccc(F)c2)cs1)N1CCCC1,unstable,16.998,11.424973
107,CHEMBL3933845,418.63,C[C@]12CC[C@H]3[C@@H](CCC4C[C@H](NC(=O)C5CC5)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,unstable,1.0002,0.966991
108,CHEMBL2403340,433.34,O=c1ncn(Cc2ccc(F)cc2F)c2ccc(Oc3ncccc3C(F)(F)F)cc12,stable,109.98,97.32152
109,CHEMBL402413,526.64,CC(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(C4CCCC4=O)ccc3N2)c1=O,moderate,43.998,7.2834415
110,CHEMBL2397494,329.38,NC(=O)[C@H](Cc1cccc(F)c1)NC(=O)[C@@H](N)Cc1ccccc1,unstable,13.002,11.964605
111,CHEMBL3357903,755.32,CCOc1cc(NC(=O)C2(NC(=O)c3ccc4c(C5CCCC5)c(-c5ncc(Cl)cn5)n(C)c4c3)CCC2)ccc1/C=C/C(=O)OCC(=O)N(C)C(C)C,moderate,39.0,69.77341
112,CHEMBL2152300,308.35,N#CCC(=O)N1CCC[C@@H](n2cnc3cnc4[nH]ccc4c32)C1,stable,84.0,124.64453
113,CHEMBL2403320,464.48,CC(C)N(c1ccc(Oc2ncccc2C(F)(F)F)cc1C(=O)O)C(=O)[C@H]1CC[C@H](C)CC1,stable,69.0,143.52007
114,CHEMBL3976046,365.52,C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)OCC[C@@]43C)[C@@H]1CC=C2c1cccnc1,unstable,1.0002,0.9255939
115,CHEMBL3959459,363.48,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)C1=CC=C2c1cncc(F)c1,unstable,1.0002,1.0748551
116,CHEMBL558428,447.41,Cn1cc2c3c1C(=O)C(N/C=C/c1ccc(O)cc1)=CC3=[N+](C)CC2,unstable,8.802,17.359177
117,CHEMBL563527,330.43,O=C(Cc1cccnc1)NCCC(c1ccccc1)c1ccccc1,unstable,4.0001999999999995,4.1720076
118,CHEMBL3927989,367.51,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1ccc(F)nc1,unstable,1.0002,1.0089226
119,CHEMBL4105079,505.97,NC(=O)c1cn(Cc2nnc(-c3cc(S(N)(=O)=O)c(SCc4ccccc4)cc3Cl)o2)nn1,unstable,26.1,11.335458
120,CHEMBL1762291,422.57,CN(C)c1ccc(C(=O)N2CCCN(C(=O)Nc3ccc(C(C)(C)C)cc3)CC2)cc1,unstable,4.0001999999999995,3.1970446
121,CHEMBL4282131,537.75,COc1cc2c(N3CCN(C4CCCC4)CC3)nc(N3CCN(C)CC3)nc2cc1OCCCN1CCCC1,stable,86.28,22.266596
122,CHEMBL2152412,355.44,CC(C)(C)OC(=O)N[C@H]1CC[C@H](n2cnc3cnc4[nH]ccc4c32)CC1,stable,90.0,106.361496
123,CHEMBL4065051,629.59,[2H]C([2H])([2H])Oc1ncc(-c2cc3c(C(=O)NC)c(-c4ccc(F)cc4)oc3nc2CCC(F)(F)F)cc1C(=O)NC(C)(C)c1ncon1,unstable,24.0,24.55573
124,CHEMBL1835215,456.54,CC(C)CN1C(=O)CN(Cc2ccc(-c3ccc(F)c(CN4CCCC(F)C4)n3)cc2)C1=O,unstable,6.0,7.6764016
125,CHEMBL1098483,471.58,COc1cc(N2CCN(C3CCN(c4cccc5cc(F)cnc45)CC3)CC2)c2ncccc2c1,unstable,1.9998,3.6555915
126,CHEMBL4095512,477.52,Cc1cc(/C=C/C#N)cc(C)c1Oc1cc(Nc2ccc(C#N)cc2)c(N)cc1C(=O)OCCC#N,unstable,16.998,33.464535
127,CHEMBL4073519,341.41,O=C(Nc1ccc2sc(-c3cccc(F)c3)nc2c1)N1CCCC1,moderate,37.002,10.98114
128,CHEMBL2041988,410.39,CS(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc(C(F)(F)F)c(F)c3)c2)cc1,stable,122.99999999999999,115.25677
129,CHEMBL3353868,321.42,CC(C)(C)c1cc(NC(=O)[C@@H]2CCCN2C2CCOCC2)no1,unstable,7.002,15.958672
130,CHEMBL3354545,377.49,CC(C)(C)c1cc(NC(=O)[C@@H]2CCCCN2C(=O)CC2CCOCC2)no1,stable,109.98,23.592642
131,CHEMBL255122,529.07,CCC(=O)N1CCC(NC(=O)c2cc3cc(Cl)ccc3[nH]2)C(NC(=O)c2nc3c(s2)CN(C)CC3)C1,unstable,6.078,11.66562
132,CHEMBL3920267,359.51,C[C@]12CC[C@H]3[C@@H](C4CC4C4=CC(=O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,unstable,1.0002,1.1751595
133,CHEMBL4212571,444.95,[2H]C([2H])(c1cc(Cl)ccc1N)N1CCN(C(=O)CNC(=O)CC2CCC(F)(F)CC2)CC1,moderate,31.998,36.23736
134,CHEMBL4100679,510.52,Cc1[nH]nc2c1C(c1cc(-c3cccc(CCC(=O)O)c3)cc(C(F)(F)F)c1)(C(C)C)C(C#N)=C(N)O2,moderate,31.002000000000002,30.168915
135,CHEMBL2426080,522.41,O=C(CCCF)N1N=C(c2c(-c3ccc(Cl)cc3)c3ccccc3[nH]c2=O)CC1c1ccc(Cl)cc1,moderate,34.998000000000005,9.836618
136,CHEMBL4075271,276.38,C[C@]1(C#N)CC[C@H]2[C@H]([C@@H]1O)[C@@H](CCO)CC[C@@]2(C)C#N,stable,142.02,13.930448
137,CHEMBL257356,511.63,CC(C)CCn1nc(C(C)(C)C)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O,unstable,10.998,5.325349
138,CHEMBL3559404,752.16,CCOc1cc(NC(=O)C2(NC(=O)c3ccc4c(C5CCCC5)c(-c5ncc(Cl)cn5)n(C)c4c3)CCC2)ccc1/C=C/C(=O)OCOP(=O)(O)O,unstable,10.001999999999999,86.87698
139,CHEMBL3125633,699.15,CCCCCc1c(Cl)nc(NC(=O)NC(C)(C)C)c(=O)n1CC(=O)Nc1ccccc1C(=O)NS(=O)(=O)c1ccc(C(F)(F)F)cc1,moderate,42.0,29.10392
140,CHEMBL3911633,406.57,COc1cncc(C2=CC[C@H]3[C@@H]4CCC5=CC(=O)N(C)CC[C@]5(C)[C@H]4CC[C@]23C)c1,unstable,1.0002,1.7170303
141,CHEMBL1773834,343.43,CCS(=O)(=O)c1ccc2oc(-c3ccc4sccc4c3)nc2c1,moderate,58.998,138.74939
142,CHEMBL2018908,278.42,CCCCCCCSc1nc2cc(OC)ccc2[nH]1,unstable,2.5998,3.3180974
143,CHEMBL254164,562.7,CC(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(C4CCCS4(=O)=O)ccc3N2)c1=O,unstable,22.002000000000002,20.281515
144,CHEMBL3904373,326.48,C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(O)C[C@@]43C)[C@@H]1CC=C2n1ccnc1,unstable,10.001999999999999,0.9128391
145,CHEMBL2431533,503.54,N#Cc1cccc(-c2ccc(C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)Nc3ccncc3)c(F)c2)c1,unstable,6.0,15.434553
146,CHEMBL2431530,631.13,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(N2CCN(Cc3ccc(F)cc3)CC2)cc1F,unstable,4.0001999999999995,5.6373973
147,CHEMBL3912829,375.51,COc1cncc(C2=CC=C3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@H]4CC[C@]23C)c1,unstable,1.0002,1.5369134
148,CHEMBL4063186,551.62,Cc1[nH]nc2c1C(c1cc(-c3ccc(S(=O)(=O)N(C)C)s3)cc(C(F)(F)F)c1)(C(C)C)C(C#N)=C(N)O2,unstable,3.0,47.362175
149,CHEMBL554066,463.71,CC1=C2C[C@H]3[C@@H](CC[C@@H]4Cc5nn(C)cc5C[C@]34C)[C@@H]2CC[C@@]2(C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,moderate,34.998000000000005,131.6899
150,CHEMBL2322495,391.85,O=S(=O)(Nc1cccc(CO)c1)c1ccc(-c2ccc(Cl)cc2F)cc1,moderate,42.0,49.21569
151,CHEMBL3400948,451.33,O=C(Nc1cc(C(F)(F)F)on1)N1CCCN(C(=O)c2ccc(C(F)(F)F)cn2)CC1,unstable,9.0,16.406462
152,CHEMBL497362,525.65,CC(C)(C)CCN1C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C(O)C2CCCCN21,moderate,52.002,44.281548
153,CHEMBL3357901,727.26,CCOc1cc(NC(=O)C2(NC(=O)c3ccc4c(C5CCCC5)c(-c5ncc(Cl)cn5)n(C)c4c3)CCC2)ccc1/C=C/C(=O)OCC(=O)N(C)C,stable,64.02,54.508503
154,CHEMBL1835120,406.53,CCCN1C(=O)CN(Cc2ccc(-c3cccc(CN4CCCCC4)n3)cc2)C1=O,moderate,46.998,44.224888
